ticker,name,raw_composite,sector,industry,cap_bucket,price,ret_5d,ret_1m,ret_3m,ret_6m,ret_12m,asof_date
BELFB,Bel Fuse Inc.,89.6000,Technology,Electronic Components,Mid,232.8400,0.0153,0.1843,0.5900,0.7785,1.8148,2026-02-13
CORZ,"Core Scientific, Inc.",89.4000,Technology,Software - Infrastructure,Mid,17.8400,-0.0383,-0.0133,0.1768,0.2626,0.4226,2026-02-13
ADPT,Adaptive Biotechnologies Corpor,89.0000,Healthcare,Biotechnology,Mid,16.0400,0.0113,-0.0979,0.1344,0.2301,0.8826,2026-02-13
COHR,Coherent Corp.,88.9000,Technology,Scientific & Technical Instruments,Large,217.2300,-0.1041,0.1085,0.5520,1.3258,1.5125,2026-02-13
ALB,Albemarle Corporation,88.4000,Basic Materials,Specialty Chemicals,Large,166.3500,0.0036,-0.0428,0.4563,1.0411,1.1426,2026-02-13
FN,Fabrinet,88.4000,Technology,Electronic Components,Large,495.5500,-0.0126,-0.0041,0.2313,0.5026,1.3153,2026-02-13
APGE,"Apogee Therapeutics, Inc.",88.0000,Healthcare,Biotechnology,Mid,67.7800,0.0909,-0.1606,0.0764,0.8176,0.8693,2026-02-13
APH,Amphenol Corporation,87.9000,Technology,Electronic Components,Large,146.7200,0.0175,-0.0486,0.0869,0.3479,1.1313,2026-02-13
ARWR,"Arrowhead Pharmaceuticals, Inc.",87.8000,Healthcare,Biotechnology,Mid,63.8200,0.0188,-0.0367,0.5513,2.1117,2.3396,2026-02-13
CIEN,Ciena Corporation,87.7000,Technology,Communication Equipment,Large,303.9200,0.0492,0.2466,0.5649,2.3446,2.4206,2026-02-13
FTAI,FTAI Aviation Ltd.,87.7000,Industrials,Rental & Leasing Services,Large,279.8500,0.0162,0.0487,0.8291,0.9379,1.6188,2026-02-13
EYE,"National Vision Holdings, Inc.",87.5000,Consumer Cyclical,Specialty Retail,Mid,28.2200,-0.0167,-0.0411,0.1922,0.2415,1.3419,2026-02-13
GH,"Guardant Health, Inc.",87.4000,Healthcare,Diagnostics & Research,Large,104.8500,-0.0047,-0.0637,0.1139,0.7807,1.2318,2026-02-13
BBIO,"BridgeBio Pharma, Inc.",87.0000,Healthcare,Biotechnology,Large,75.2500,0.0409,-0.0132,0.1566,0.4663,1.3843,2026-02-13
ECG,"Everus Construction Group, Inc.",86.8000,Industrials,Engineering & Construction,Mid,105.1600,0.0350,0.1776,0.1483,0.3894,1.1227,2026-02-13
